GEO_ID,NAME,S2401_C01_001E,S2401_C01_001M,S2401_C01_002E,S2401_C01_002M,PERC_Management,S2401_C01_018E,S2401_C01_018M,PERC_Service,S2401_C01_026E,S2401_C01_026M,PERC_Sales,S2401_C01_029E,S2401_C01_029M,PERC_Natural,S2401_C01_033E,S2401_C01_033M,PERC_Production
id,Geographic Area Name,Estimate!!Total!!16 years and over,Margin of Error!!Total MOE!!16 years and over,"Estimate!!Total!!16 years and over!!Management, business, science, and arts occupations","Margin of Error!!Total MOE!!16 years and over!!Management, business, science, and arts occupations","PERC_Management, business, science, and arts occupations",Estimate!!Total!!16 years and over!!Service occupations,Margin of Error!!Total MOE!!16 years and over!!Service occupations,PERC_Service occupations,Estimate!!Total!!16 years and over!!Sales and office occupations,Margin of Error!!Total MOE!!16 years and over!!Sales and office occupations,PERC_Sales,"Estimate!!Total!!16 years and over!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total MOE!!16 years and over!!Natural resources, construction, and maintenance occupations",PERC_Natural,"Estimate!!Total!!16 years and over!!Production, transportation, and material moving occupations","Margin of Error!!Total MOE!!16 years and over!!Production, transportation, and material moving occupations",PERC_Production
1400000US36005003300,"Census Tract 33, Bronx County, New York",829,165,192,92,23.1604,314,114,37.877,169,81,20.386,73,60,8.8058,81,56,9.7708
1400000US36005003500,"Census Tract 35, Bronx County, New York",1520,230,252,121,16.5789,619,184,40.7237,324,134,21.3158,157,96,10.3289,168,108,11.0526
1400000US36005003700,"Census Tract 37, Bronx County, New York",128,51,29,23,22.6563,41,28,32.0313,32,26,25,10,16,7.8125,16,16,12.5
1400000US36005003800,"Census Tract 38, Bronx County, New York",562,139,184,81,32.7402,151,84,26.8683,145,83,25.8007,24,20,4.2705,58,32,10.3203
1400000US36005003900,"Census Tract 39, Bronx County, New York",3009,546,306,134,10.1695,1364,311,45.3307,490,184,16.2845,81,81,2.6919,768,314,25.5234
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",613,103,185,70,30.1794,134,44,21.8597,178,68,29.0375,47,31,7.6672,69,43,11.2561
1400000US36005004100,"Census Tract 41, Bronx County, New York",1674,368,149,104,8.9008,684,294,40.8602,479,215,28.6141,80,84,4.779,282,143,16.8459
1400000US36005004200,"Census Tract 42, Bronx County, New York",2246,443,460,197,20.4809,857,321,38.1567,490,186,21.8166,116,113,5.1647,323,197,14.3811
1400000US36005004300,"Census Tract 43, Bronx County, New York",2067,286,384,120,18.5776,769,164,37.2037,441,127,21.3353,202,103,9.7726,271,96,13.1108
1400000US36005004400,"Census Tract 44, Bronx County, New York",1137,211,176,62,15.4793,387,140,34.0369,388,127,34.1249,63,63,5.5409,123,64,10.8179
1400000US36005004600,"Census Tract 46, Bronx County, New York",620,169,164,93,26.4516,274,104,44.1935,41,40,6.6129,8,12,1.2903,133,103,21.4516
1400000US36005004800,"Census Tract 48, Bronx County, New York",1993,354,259,100,12.9955,683,194,34.2699,390,137,19.5685,305,143,15.3036,356,182,17.8625
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",1741,327,269,133,15.4509,743,220,42.6766,273,103,15.6806,197,83,11.3153,259,134,14.8765
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",2094,306,217,99,10.3629,837,212,39.9713,404,134,19.2932,246,138,11.7479,390,173,18.6246
1400000US36005005100,"Census Tract 51, Bronx County, New York",1761,299,306,169,17.3765,858,233,48.7223,386,156,21.9194,53,71,3.0097,158,102,8.9722
1400000US36005005200,"Census Tract 52, Bronx County, New York",831,167,169,67,20.3369,172,72,20.698,295,76,35.4994,80,56,9.627,115,85,13.8387
1400000US36005005300,"Census Tract 53, Bronx County, New York",938,140,197,65,21.0021,403,109,42.9638,183,62,19.5096,47,55,5.0107,108,68,11.5139
1400000US36005005400,"Census Tract 54, Bronx County, New York",2599,424,227,108,8.7341,1107,265,42.5933,525,194,20.2001,458,160,17.6222,282,121,10.8503
1400000US36005005600,"Census Tract 56, Bronx County, New York",808,140,152,59,18.8119,335,72,41.4604,157,62,19.4307,58,49,7.1782,106,51,13.1188
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",1087,184,363,128,33.3947,392,146,36.0626,263,98,24.195,6,9,0.552,63,59,5.7958
1400000US36005006000,"Census Tract 60, Bronx County, New York",580,171,131,38,22.5862,201,57,34.6552,140,75,24.1379,38,29,6.5517,70,38,12.069
1400000US36005006100,"Census Tract 61, Bronx County, New York",1708,340,468,149,27.4005,465,195,27.2248,515,266,30.1522,28,37,1.6393,232,119,13.5831
1400000US36005006200,"Census Tract 62, Bronx County, New York",2474,431,242,147,9.7817,1133,285,45.7963,593,266,23.9693,306,184,12.3686,200,135,8.0841
1400000US36005006300,"Census Tract 63, Bronx County, New York",2165,267,581,145,26.836,674,181,31.1316,498,155,23.0023,74,53,3.418,338,129,15.612
1400000US36005006400,"Census Tract 64, Bronx County, New York",1352,281,301,117,22.2633,352,129,26.0355,273,123,20.1923,210,105,15.5325,216,121,15.9763
1400000US36005006500,"Census Tract 65, Bronx County, New York",2077,327,231,110,11.1218,1069,258,51.4685,445,162,21.4251,66,78,3.1777,266,111,12.8069
