GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C02_001E,S0101_C02_001M,S0101_C03_001E,S0101_C03_001M,S0101_C04_001E,S0101_C04_001M
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Percent!!Total population,Margin of Error!!Percent MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population
1400000US36061005900,"Census Tract 59, New York County, New York",5475,521,(X),(X),2592,349,(X),(X)
1400000US36061006000,"Census Tract 60, New York County, New York",5348,391,(X),(X),2739,349,(X),(X)
1400000US36061006100,"Census Tract 61, New York County, New York",4962,365,(X),(X),2418,376,(X),(X)
1400000US36061006200,"Census Tract 62, New York County, New York",4219,598,(X),(X),2349,415,(X),(X)
1400000US36061006300,"Census Tract 63, New York County, New York",6492,586,(X),(X),2888,398,(X),(X)
1400000US36061006400,"Census Tract 64, New York County, New York",7800,789,(X),(X),3895,547,(X),(X)
1400000US36061006500,"Census Tract 65, New York County, New York",6423,429,(X),(X),2989,394,(X),(X)
1400000US36061006600,"Census Tract 66, New York County, New York",10619,1338,(X),(X),5511,768,(X),(X)
1400000US36061006700,"Census Tract 67, New York County, New York",5262,443,(X),(X),2596,421,(X),(X)
1400000US36061006800,"Census Tract 68, New York County, New York",7677,645,(X),(X),3740,563,(X),(X)
1400000US36061006900,"Census Tract 69, New York County, New York",2523,277,(X),(X),1398,187,(X),(X)
1400000US36061007000,"Census Tract 70, New York County, New York",8232,924,(X),(X),3448,619,(X),(X)
1400000US36061007100,"Census Tract 71, New York County, New York",5624,479,(X),(X),2748,370,(X),(X)
1400000US36061007200,"Census Tract 72, New York County, New York",7463,985,(X),(X),3231,732,(X),(X)
1400000US36061007300,"Census Tract 73, New York County, New York",5887,733,(X),(X),3100,514,(X),(X)
1400000US36061007400,"Census Tract 74, New York County, New York",4175,328,(X),(X),2013,267,(X),(X)
1400000US36061007500,"Census Tract 75, New York County, New York",3689,320,(X),(X),1753,255,(X),(X)
1400000US36061007600,"Census Tract 76, New York County, New York",1991,270,(X),(X),915,172,(X),(X)
1400000US36061007700,"Census Tract 77, New York County, New York",6117,541,(X),(X),3226,340,(X),(X)
1400000US36061007800,"Census Tract 78, New York County, New York",8965,931,(X),(X),4631,766,(X),(X)
1400000US36061007900,"Census Tract 79, New York County, New York",4379,579,(X),(X),2100,316,(X),(X)
1400000US36061008000,"Census Tract 80, New York County, New York",5013,461,(X),(X),2363,303,(X),(X)
1400000US36061008100,"Census Tract 81, New York County, New York",7762,778,(X),(X),4099,611,(X),(X)
1400000US36061008200,"Census Tract 82, New York County, New York",3264,374,(X),(X),1498,265,(X),(X)
1400000US36061008300,"Census Tract 83, New York County, New York",3844,568,(X),(X),1883,390,(X),(X)
1400000US36061008400,"Census Tract 84, New York County, New York",1956,303,(X),(X),956,239,(X),(X)
1400000US36061008601,"Census Tract 86.01, New York County, New York",3022,321,(X),(X),1573,233,(X),(X)
1400000US36061008602,"Census Tract 86.02, New York County, New York",0,12,(X),(X),0,12,(X),(X)
1400000US36061008603,"Census Tract 86.03, New York County, New York",4313,592,(X),(X),1995,376,(X),(X)
1400000US36061008700,"Census Tract 87, New York County, New York",7186,729,(X),(X),4008,536,(X),(X)
1400000US36061008800,"Census Tract 88, New York County, New York",7285,727,(X),(X),3508,537,(X),(X)
1400000US36061008900,"Census Tract 89, New York County, New York",5383,434,(X),(X),3022,323,(X),(X)
1400000US36061009000,"Census Tract 90, New York County, New York",7500,749,(X),(X),3242,587,(X),(X)
1400000US36061009100,"Census Tract 91, New York County, New York",6247,640,(X),(X),3506,571,(X),(X)
1400000US36061009200,"Census Tract 92, New York County, New York",1602,203,(X),(X),846,137,(X),(X)
1400000US36061009300,"Census Tract 93, New York County, New York",9260,757,(X),(X),4443,631,(X),(X)
1400000US36061009400,"Census Tract 94, New York County, New York",54,40,(X),(X),10,7,(X),(X)
1400000US36061009500,"Census Tract 95, New York County, New York",3168,325,(X),(X),1274,200,(X),(X)
1400000US36061009600,"Census Tract 96, New York County, New York",141,47,(X),(X),103,41,(X),(X)
1400000US36061009700,"Census Tract 97, New York County, New York",4965,396,(X),(X),2618,336,(X),(X)
1400000US36061009800,"Census Tract 98, New York County, New York",7200,702,(X),(X),3507,510,(X),(X)
1400000US36061009900,"Census Tract 99, New York County, New York",5759,356,(X),(X),3179,360,(X),(X)
1400000US36061010000,"Census Tract 100, New York County, New York",1768,193,(X),(X),705,124,(X),(X)
1400000US36061010100,"Census Tract 101, New York County, New York",1273,117,(X),(X),747,106,(X),(X)
1400000US36061010200,"Census Tract 102, New York County, New York",100,59,(X),(X),68,42,(X),(X)
1400000US36061010300,"Census Tract 103, New York County, New York",1990,206,(X),(X),1066,163,(X),(X)
1400000US36061010400,"Census Tract 104, New York County, New York",919,144,(X),(X),385,83,(X),(X)
1400000US36061010601,"Census Tract 106.01, New York County, New York",7144,684,(X),(X),3118,466,(X),(X)
1400000US36061010602,"Census Tract 106.02, New York County, New York",4562,445,(X),(X),1853,254,(X),(X)
1400000US36061010800,"Census Tract 108, New York County, New York",9192,868,(X),(X),4109,578,(X),(X)
1400000US36061010900,"Census Tract 109, New York County, New York",182,55,(X),(X),113,33,(X),(X)
1400000US36061011000,"Census Tract 110, New York County, New York",6909,901,(X),(X),3069,579,(X),(X)
1400000US36061011100,"Census Tract 111, New York County, New York",4838,438,(X),(X),2506,338,(X),(X)
1400000US36061011201,"Census Tract 112.01, New York County, New York",824,112,(X),(X),318,63,(X),(X)
1400000US36061011202,"Census Tract 112.02, New York County, New York",363,106,(X),(X),167,63,(X),(X)
1400000US36061011203,"Census Tract 112.03, New York County, New York",1154,172,(X),(X),485,106,(X),(X)
1400000US36061011300,"Census Tract 113, New York County, New York",110,36,(X),(X),83,36,(X),(X)
1400000US36061011401,"Census Tract 114.01, New York County, New York",1137,169,(X),(X),563,99,(X),(X)
1400000US36061011402,"Census Tract 114.02, New York County, New York",1795,269,(X),(X),831,163,(X),(X)
1400000US36061011500,"Census Tract 115, New York County, New York",3779,444,(X),(X),2256,354,(X),(X)
1400000US36061011600,"Census Tract 116, New York County, New York",3331,425,(X),(X),1476,296,(X),(X)
1400000US36061011700,"Census Tract 117, New York County, New York",4242,389,(X),(X),2276,295,(X),(X)
1400000US36061011800,"Census Tract 118, New York County, New York",8767,1005,(X),(X),3900,617,(X),(X)
1400000US36061011900,"Census Tract 119, New York County, New York",1097,177,(X),(X),783,136,(X),(X)
1400000US36061012000,"Census Tract 120, New York County, New York",3056,464,(X),(X),1233,245,(X),(X)
1400000US36061012100,"Census Tract 121, New York County, New York",7920,805,(X),(X),3992,777,(X),(X)
1400000US36061012200,"Census Tract 122, New York County, New York",2553,416,(X),(X),1127,232,(X),(X)
1400000US36061012400,"Census Tract 124, New York County, New York",10052,1049,(X),(X),4889,678,(X),(X)
1400000US36061012500,"Census Tract 125, New York County, New York",2407,214,(X),(X),1300,186,(X),(X)
1400000US36061012600,"Census Tract 126, New York County, New York",13330,1236,(X),(X),6074,932,(X),(X)
1400000US36061012700,"Census Tract 127, New York County, New York",6539,815,(X),(X),3506,632,(X),(X)
1400000US36061012800,"Census Tract 128, New York County, New York",5683,544,(X),(X),2676,307,(X),(X)
1400000US36061012900,"Census Tract 129, New York County, New York",7122,755,(X),(X),4013,578,(X),(X)
1400000US36061013000,"Census Tract 130, New York County, New York",3466,525,(X),(X),1432,271,(X),(X)
1400000US36061013100,"Census Tract 131, New York County, New York",2696,283,(X),(X),1405,201,(X),(X)
1400000US36061013200,"Census Tract 132, New York County, New York",10850,1624,(X),(X),4917,1037,(X),(X)
1400000US36061013300,"Census Tract 133, New York County, New York",5679,533,(X),(X),3295,416,(X),(X)
1400000US36061013400,"Census Tract 134, New York County, New York",12076,1268,(X),(X),5342,912,(X),(X)
1400000US36061013500,"Census Tract 135, New York County, New York",8254,677,(X),(X),4028,472,(X),(X)
1400000US36061013600,"Census Tract 136, New York County, New York",15959,1196,(X),(X),6714,798,(X),(X)
1400000US36061013700,"Census Tract 137, New York County, New York",6419,868,(X),(X),3128,527,(X),(X)
1400000US36061013800,"Census Tract 138, New York County, New York",12201,1129,(X),(X),5267,749,(X),(X)
1400000US36061013900,"Census Tract 139, New York County, New York",10465,1025,(X),(X),5517,973,(X),(X)
1400000US36061014000,"Census Tract 140, New York County, New York",7529,483,(X),(X),3328,347,(X),(X)
1400000US36061014200,"Census Tract 142, New York County, New York",4493,589,(X),(X),1946,359,(X),(X)
1400000US36061014300,"Census Tract 143, New York County, New York",3,7,(X),(X),0,12,(X),(X)
1400000US36061014401,"Census Tract 144.01, New York County, New York",5018,437,(X),(X),2126,267,(X),(X)
1400000US36061014402,"Census Tract 144.02, New York County, New York",6943,549,(X),(X),2883,437,(X),(X)
1400000US36061014500,"Census Tract 145, New York County, New York",5960,511,(X),(X),2871,335,(X),(X)
1400000US36061014601,"Census Tract 146.01, New York County, New York",4268,552,(X),(X),2192,378,(X),(X)
