GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C03_001E,S0101_C03_001M,CALC_MALE,S0101_C04_001M,CALC_50_UP,PERC_50_UP
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population,Estimate!!Total!!Total population!!AGE!!50 and over,Estimate!!Total!!Total population!!AGE!!50 and over
1400000US36005004200,"Census Tract 42, Bronx County, New York",7207,648,3073,547,42.6391,(X),2409,33.4258
1400000US36005004300,"Census Tract 43, Bronx County, New York",6088,595,3077,411,50.5420,(X),1685,27.6774
1400000US36005004400,"Census Tract 44, Bronx County, New York",4607,395,2023,269,43.9114,(X),1262,27.3931
1400000US36005004600,"Census Tract 46, Bronx County, New York",1817,237,797,159,43.8635,(X),477,26.2521
1400000US36005004800,"Census Tract 48, Bronx County, New York",4680,415,2364,305,50.5128,(X),983,21.0043
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",4979,499,2488,372,49.9699,(X),1249,25.0854
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",5519,560,2759,353,49.9909,(X),1159,21.0002
1400000US36005005100,"Census Tract 51, Bronx County, New York",5588,473,2277,300,40.7480,(X),1374,24.5884
1400000US36005005200,"Census Tract 52, Bronx County, New York",2091,259,957,187,45.7676,(X),578,27.6423
1400000US36005005300,"Census Tract 53, Bronx County, New York",4483,376,1859,282,41.4678,(X),836,18.6482
1400000US36005005400,"Census Tract 54, Bronx County, New York",6003,664,2957,401,49.2587,(X),1491,24.8376
1400000US36005005600,"Census Tract 56, Bronx County, New York",2384,244,1043,178,43.7500,(X),801,33.5990
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",2532,288,1265,210,49.9605,(X),775,30.6082
1400000US36005006000,"Census Tract 60, Bronx County, New York",1451,267,688,142,47.4156,(X),434,29.9104
1400000US36005006100,"Census Tract 61, Bronx County, New York",3697,407,1717,338,46.4431,(X),1784,48.2553
1400000US36005006200,"Census Tract 62, Bronx County, New York",7184,726,3312,529,46.1024,(X),1620,22.5501
1400000US36005006300,"Census Tract 63, Bronx County, New York",4497,435,2406,297,53.5023,(X),1225,27.2404
1400000US36005006400,"Census Tract 64, Bronx County, New York",3612,409,1895,329,52.4640,(X),1168,32.3367
1400000US36005006500,"Census Tract 65, Bronx County, New York",5312,564,2782,406,52.3720,(X),1218,22.9292
1400000US36005006700,"Census Tract 67, Bronx County, New York",7256,703,3454,512,47.6020,(X),1933,26.6400
1400000US36005006800,"Census Tract 68, Bronx County, New York",3294,347,1758,265,53.3698,(X),832,25.2580
1400000US36005006900,"Census Tract 69, Bronx County, New York",8090,816,3672,504,45.3894,(X),1966,24.3016
1400000US36005007000,"Census Tract 70, Bronx County, New York",4584,692,2195,321,47.8839,(X),1317,28.7304
1400000US36005007100,"Census Tract 71, Bronx County, New York",2722,248,1223,166,44.9302,(X),685,25.1653
1400000US36005007200,"Census Tract 72, Bronx County, New York",5891,738,2984,440,50.6535,(X),1639,27.8221
1400000US36005007300,"Census Tract 73, Bronx County, New York",4314,386,2205,322,51.1127,(X),910,21.0941
1400000US36005007400,"Census Tract 74, Bronx County, New York",3314,377,1424,310,42.9692,(X),1398,42.1847
1400000US36005007500,"Census Tract 75, Bronx County, New York",6112,518,2564,350,41.9503,(X),1428,23.3639
1400000US36005007600,"Census Tract 76, Bronx County, New York",5458,660,2671,462,48.9373,(X),1482,27.1528
1400000US36005007700,"Census Tract 77, Bronx County, New York",2022,199,964,142,47.6756,(X),505,24.9753
1400000US36005007800,"Census Tract 78, Bronx County, New York",7025,704,3287,472,46.7900,(X),1843,26.2349
1400000US36005007900,"Census Tract 79, Bronx County, New York",7054,705,3254,490,46.1299,(X),1663,23.5753
1400000US36005008300,"Census Tract 83, Bronx County, New York",6519,629,3408,434,52.2780,(X),1520,23.3165
1400000US36005008400,"Census Tract 84, Bronx County, New York",2780,305,1424,211,51.2230,(X),791,28.4532
1400000US36005008500,"Census Tract 85, Bronx County, New York",5972,624,2637,472,44.1561,(X),1201,20.1105
1400000US36005008600,"Census Tract 86, Bronx County, New York",3982,451,1814,322,45.5550,(X),1076,27.0216
1400000US36005008700,"Census Tract 87, Bronx County, New York",6150,508,3051,364,49.6098,(X),1666,27.0894
1400000US36005008900,"Census Tract 89, Bronx County, New York",3200,253,1513,211,47.2813,(X),970,30.3125
1400000US36005009000,"Census Tract 90, Bronx County, New York",3620,429,1638,331,45.2486,(X),1085,29.9724
1400000US36005009200,"Census Tract 92, Bronx County, New York",6091,432,3000,300,49.2530,(X),1683,27.6309
1400000US36005009300,"Census Tract 93, Bronx County, New York",6104,717,3590,555,58.8139,(X),1441,23.6075
1400000US36005009600,"Census Tract 96, Bronx County, New York",2683,254,1190,143,44.3533,(X),1043,38.8744
1400000US36005009800,"Census Tract 98, Bronx County, New York",4824,526,2319,321,48.0721,(X),1732,35.9038
1400000US36005011000,"Census Tract 110, Bronx County, New York",0,12,0,12,0.0000,(X),0,0.0000
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",4437,468,2175,383,49.0196,(X),911,20.5319
